modena,19,12.00,-51.49,47.58,7.00,-45.82,47.00
kauf_valid,82,68.00,-55.66,51.68,14.00,-57.74,54.07
kauf_train,62,48.00,-54.78,51.58,14.00,-55.67,50.50
runge_valid,38,13.00,-72.44,60.62,25.00,-64.90,59.92
eterna,71,33.00,-32.96,57.58,31.00,-27.09,43.74
