modena,19,14.00,-52.23,49.36,5.00,-42.32,45.00
kauf_valid,82,66.00,-54.94,52.17,16.00,-63.19,53.88
kauf_train,62,48.00,-54.21,51.48,14.00,-60.37,52.50
runge_valid,38,14.00,-64.96,62.86,24.00,-68.80,59.46
eterna,71,28.00,-34.49,57.89,32.00,-28.25,45.22
